Item No,Order ID,Part Number,Part Description,Supplier Name,Plant,Order Amount,Date
1,20200601A001,2480322,10,AUN,Metal,10,01/06/2020
1,20200602A001,2480322,10,AUN,Metal,10,02/06/2020
1,20200603A001,2480322,400,AUN,Metal,400,03/06/2020
1,20200604A001,2480322,1500,AUN,Metal,1500,04/06/2020
1,20200605A001,2480322,1,AUN,Metal,1,05/06/2020
1,20200606A001,2480322,111,AUN,Metal,111,06/06/2020
1,20200608A001,2480322,300,AUN,Metal,300,08/06/2020
1,20200609A001,2480322,300,AUN,Metal,300,09/06/2020
1,20200611A001,2480322,150,AUN,Metal,150,11/06/2020
1,20200612A001,2480322,77,AUN,Metal,77,12/06/2020
1,20200613A001,2480322,78,AUN,Metal,78,13/06/2020
1,20200615A001,2480322,79,AUN,Metal,79,15/06/2020
1,20200619A001,2480322,150,AUN,Metal,150,19/06/2020
2,20200604A001,2527824,150,AUN,Metal,150,04/06/2020
2,20200605A001,2527824,1,AUN,Metal,1,05/06/2020
2,20200608A001,2527824,300,AUN,Metal,300,08/06/2020
2,20200609A001,2527824,300,AUN,Metal,300,09/06/2020
2,20200611A001,2527824,150,AUN,Metal,150,11/06/2020
2,20200619A001,2527824,150,AUN,Metal,150,19/06/2020
3,20200601A001,2621969,200,AUN,Metal,200,01/06/2020
3,20200604A001,2621969,150,AUN,Metal,150,04/06/2020
3,20200605A001,2621969,150,AUN,Metal,150,05/06/2020
3,20200608A001,2621969,150,AUN,Metal,150,08/06/2020
3,20200609A001,2621969,150,AUN,Metal,150,09/06/2020
3,20200611A001,2621969,150,AUN,Metal,150,11/06/2020
3,20200615A001,2621969,150,AUN,Metal,150,15/06/2020
3,20200617A001,2621969,150,AUN,Metal,150,17/06/2020
3,20200619A001,2621969,150,AUN,Metal,150,19/06/2020
4,20200601A001,2621970,150,AUN,Metal,150,01/06/2020
4,20200604A001,2621970,150,AUN,Metal,150,04/06/2020
4,20200605A001,2621970,150,AUN,Metal,150,05/06/2020
4,20200608A001,2621970,150,AUN,Metal,150,08/06/2020
4,20200609A001,2621970,150,AUN,Metal,150,09/06/2020
4,20200611A001,2621970,150,AUN,Metal,150,11/06/2020
4,20200615A001,2621970,150,AUN,Metal,150,15/06/2020
4,20200617A001,2621970,150,AUN,Metal,150,17/06/2020
4,20200619A001,2621970,150,AUN,Metal,150,19/06/2020
5,20200601A001,2622069,150,AUN,Metal,150,01/06/2020
5,20200602A001,2622069,150,AUN,Metal,150,02/06/2020
