File ID,Order ID,Supplier,Plant,Part No,Due Date,Order Qty,Pakage No,Pakage Qty,Route&Qty,Uploaded By,Uploaded Date
AD20103001,20200619A002,AUN,Metal,SUPPORT TUBE UPR,19/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200611A002,AUN,Metal,SUPPORT TUBE UPR,11/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200609A002,AUN,Metal,SUPPORT TUBE UPR,09/06/2020,300,packagesNo,30.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200608A002,AUN,Metal,SUPPORT TUBE UPR,08/06/2020,300,packagesNo,30.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200605A002,AUN,Metal,SUPPORT TUBE UPR,05/06/2020,1,packagesNo,1.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200604A002,AUN,Metal,SUPPORT TUBE UPR,04/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200619A003,AUN,Metal,RR MEMB PIPE RH R/C,19/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200617A002,AUN,Metal,RR MEMB PIPE RH R/C,17/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200615A002,AUN,Metal,RR MEMB PIPE RH R/C,15/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200611A003,AUN,Metal,RR MEMB PIPE RH R/C,11/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200609A003,AUN,Metal,RR MEMB PIPE RH R/C,09/06/2020,500,packagesNo,50.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200608A003,AUN,Metal,RR MEMB PIPE RH R/C,08/06/2020,450,packagesNo,45.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200605A003,AUN,Metal,RR MEMB PIPE RH R/C,05/06/2020,400,packagesNo,40.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200604A003,AUN,Metal,RR MEMB PIPE RH R/C,04/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200601A002,AUN,Metal,RR MEMB PIPE RH R/C,01/06/2020,200,packagesNo,20.00,Aun-metal-1,Batman,30/10/2020
AD20103001,20200602A002,AUN,Metal,RR MEMB PIPE LH R/C,02/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,09/11/2020
AD20103001,20200601A004,AUN,Metal,RR MEMB PIPE LH R/C,01/06/2020,150,packagesNo,15.00,Aun-metal-1,Batman,09/11/2020
AD20103001,20200619A005,AUN,Metal,RR MEMB PIPE LH R/C,19/06/2020,75,packagesNo,8.00,Aun-metal-1,Batman,09/11/2020
AD20103001,20200618A002,AUN,Metal,RR MEMB PIPE LH R/C,18/06/2020,75,packagesNo,8.00,Aun-metal-1,Batman,09/11/2020
AD20103001,20200617A004,AUN,Metal,RR MEMB PIPE LH R/C,17/06/2020,75,packagesNo,8.00,Aun-metal-1,Batman,09/11/2020
