Action,File ID,Order ID,Supplier,Plant,Part No,Part Name,Due Date,Order Qty,Package No,Package Qty,Route&Trip,Uploaded By,Uploaded Date
ADD,AD20111104,20200601A001,AUN,Metal,2480322,UPR CROSS TUBE,01/06/2020,10,packagesNo,1.00,1,Batman,11/11/2020
ADD,AD20111104,20200602A001,AUN,Metal,2480322,UPR CROSS TUBE,02/06/2020,10,packagesNo,1.00,1,Batman,11/11/2020
ADD,AD20111104,20200603A001,AUN,Metal,2480322,UPR CROSS TUBE,03/06/2020,400,packagesNo,40.00,1,Batman,11/11/2020
ADD,AD20111104,20200604A001,AUN,Metal,2480322,UPR CROSS TUBE,04/06/2020,5,packagesNo,1.00,1,Batman,11/11/2020
ADD,AD20111104,20200605A001,AUN,Metal,2480322,UPR CROSS TUBE,05/06/2020,1,packagesNo,1.00,1,Batman,11/11/2020
ADD,AD20111104,20200606A001,AUN,Metal,2480322,UPR CROSS TUBE,06/06/2020,5,packagesNo,1.00,1,Batman,11/11/2020
ADD,AD20111104,20200611A001,AUN,Metal,2480322,UPR CROSS TUBE,11/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200612A001,AUN,Metal,2480322,UPR CROSS TUBE,12/06/2020,77,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200613A001,AUN,Metal,2480322,UPR CROSS TUBE,13/06/2020,78,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200615A001,AUN,Metal,2480322,UPR CROSS TUBE,15/06/2020,79,packagesNo,8.00,1,Batman,11/11/2020
ADD,AD20111104,20200619A001,AUN,Metal,2480322,UPR CROSS TUBE,19/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200604A002,AUN,Metal,2527824,SUPPORT TUBE UPR,04/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200605A002,AUN,Metal,2527824,SUPPORT TUBE UPR,05/06/2020,1,packagesNo,1.00,1,Batman,11/11/2020
ADD,AD20111104,20200609A001,AUN,Metal,2527824,SUPPORT TUBE UPR,09/06/2020,50,packagesNo,5.00,1,Batman,11/11/2020
ADD,AD20111104,20200611A002,AUN,Metal,2527824,SUPPORT TUBE UPR,11/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200619A002,AUN,Metal,2527824,SUPPORT TUBE UPR,19/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200601A002,AUN,Metal,2621969,RR MEMB PIPE RH R/C,01/06/2020,200,packagesNo,20.00,1,Batman,11/11/2020
ADD,AD20111104,20200604A003,AUN,Metal,2621969,RR MEMB PIPE RH R/C,04/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200605A003,AUN,Metal,2621969,RR MEMB PIPE RH R/C,05/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200608A002,AUN,Metal,2621969,RR MEMB PIPE RH R/C,08/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200609A002,AUN,Metal,2621969,RR MEMB PIPE RH R/C,09/06/2020,50,packagesNo,5.00,1,Batman,11/11/2020
ADD,AD20111104,20200611A003,AUN,Metal,2621969,RR MEMB PIPE RH R/C,11/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
ADD,AD20111104,20200615A002,AUN,Metal,2621969,RR MEMB PIPE RH R/C,15/06/2020,150,packagesNo,15.00,1,Batman,11/11/2020
