Project Code,status,Supplier Code,Part Number,Part Name,Package No,Package Volume,Part Weight,Remark,Update By,Update Date
AD-MR-IB,Draft,AUN,2521817,TUBE LWR RR SEAT BACK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2521825,VERTICAL PIPE A/R 1,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2521828,VERTICAL PIPE A/R 2,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2549013,TUBE LWR RR SEAT BACK2PT BELT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2597418,VERTICAL PIPE A/R 2PT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2521952,MAIN PIPE BACK FR LH/RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522356,CUSH WIRE -A RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522359,CUSH WIRE -B,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522360,CUSH WIRE -C,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522363,CUSH WIRE -D,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2545195,CUSH WIRE-E,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2596606,CUSH WIRE -A LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2554130,ASSY MGT BRKT RR OTR LH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2526287,MTG BRKT RR INR RH ASM,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2526503,CUSHION BRACKET IB RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2526225,DEVICE BRACKET ASSYOTR RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2526378,MTG BRKT FR OTR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2526402,MTG BRKT FR INR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2521967,HINGE BRKT ASSY RR BACKINR RH,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2545170,TRIM WIRE UPR CTR,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2545213,False,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2596596,TRIM WIRE LOWER,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522711,SUPT WIRE BACK B,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2580699,ARMREST PIVOT ROD,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522749,TUBE UPR FR BACK,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522755,SUPPORT WIRE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2522758,S-SPRG A,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2528053,WIRE RELEASE,,,,,Batman,24/09/2020
AD-MR-IB,Confirm,AUN,2527824,SUPPORT TUBE UPR,packagesNo,12.00,20.00,,Batman,25/09/2020
AD-MR-IB,Draft,AUN,2572574,REINFORCEMENT PIPE,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2590764,STRIKER ASSY 3PT BELT,,,,,Batman,24/09/2020
AD-MR-IB,Draft,AUN,2590772,STRIKER ASSY 2PT BELT,,,,,Batman,24/09/2020
