Project Code,status,Supplier Code,Part Number,Part Name,Package No,Package Volume,Part Weight,Remark,Update By,Update Date
AD-MR-IB,Confirm,AUN,2527824,SUPPORT TUBE UPR,packagesNo,12.00,20.00,,Batman,25/09/2020
AD-MR-IB,Confirm,AUN,2621969,RR MEMB PIPE RH R/C,packagesNo,45.00,21.00,,Batman,25/09/2020
AD-MR-IB,Confirm,AUN,2622069,RR MEMB PIPE LH R/C,packagesNo,12.00,12.00,test,Batman,09/11/2020
AD-MR-IB,Confirm,AUN,2621906,MAIN PIPE LH RR BACK,45,45.00,45.00,45,Batman,18/11/2020
AD-MR-IB,Confirm,XCL,EB3A-96606B09-A,REINF BRKT RR ST ,packagesNo,12.00,23.00,,Batman,24/09/2020
AD-MR-IB,Confirm,AUN,2480322,UPR CROSS TUBE,packagesNo,45.00,45.00,,Batman,24/09/2020
AD-MR-IB,Confirm,SPV,1950525,PIVOT COVER OB RH ,packagesNo,78.00,45.00,,Batman,28/09/2020
AD-MR-IB,Confirm,AUN,1799826,ASM HR FRAME CTR,packagesNo,12.00,45.00,,Batman,02/10/2020
AD-MR-IB,Confirm,AUN,2622075,MAIN PIPE LH R/C,packagesNo,1.00,12.00,test,Batman,09/10/2020
AD-MR-IB,Confirm,AUN,2621970,MAIN PIPE RH R/C,packagesNo,12.00,45.00,45,Batman,09/11/2020
