Customer,Project Code,Route Code,Trip No,Supplier Code,Plant Code,Pickup Before,Release Time,Pickup Time,Depart Time,Delivery Time,Complete Time,Update by,Update Date
dfdf,AD-MR-IB,test,,XCL,Metal,1,12.3,14.3,15.3,16.3,17.3,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,asdasd,,XCL,JIT-Rayong,1,12.3,12.03,12.2,12.3,14.5,Batman,
dfdf,AD-MR-IB,rounteCode21/10/2020-2,,AAPICO,AT,1,12.3,14.4,15.3,16.2,17.02,Batman,
dfdf,AD-MR-IB,rounteCode21/10/2020-2,,AAPICO,AT,1,12.3,14.4,15.3,16.2,17.02,Batman,
dfdf,AD-MR-IB,routeCode21/10/2020,,AUN,JIT-Rayong,1,12.3,14.3,15.2,17.3,18.3,Batman,
dfdf,AD-MR-IB,routeCode10/10/2020,,AUN,Foam,1,12.3,14.3,16.3,17.3,15.2,Batman,
dfdf,AD-MR-IB,new,,AAPICO,AT,1,12.3,12.45,13.3,14.3,15.3,Batman,
dfdf,AD-MR-IB,test-generate,,NSG,AT,1,10.2,12.3,14.3,15.2,16.3,Batman,
dfdf,AD-MR-IB,SPV-JIT-Rayong,,SPV,JIT-Rayong,1,11.3,12.3,13.3,14.3,15.3,Batman,
