Truck Plan Ref.,Number of PUS,Due Date,Route Code,Trip
Aun1__20200601A02,Aun1__20200601A02,1,2020-06-01 00:00:00,Aun-metal,1
Aun1__20200610A02,Aun1__20200610A02,1,2020-06-10 00:00:00,Aun-metal,1
Aun1__20200605A02,Aun1__20200605A02,1,2020-06-05 00:00:00,Aun-metal,1
Aun1__20200613A02,Aun1__20200613A02,1,2020-06-13 00:00:00,Aun-metal,1
SPV1__20200605A02,SPV1__20200605A02,1,2020-06-05 00:00:00,SPV-JIT-Rayong,1
rou2__20200618A02,rou2__20200618A02,1,2020-06-18 00:00:00,routeCode10/10/2020,2
SPV1__20200604A02,SPV1__20200604A02,1,2020-06-04 00:00:00,SPV-JIT-Rayong,1
Aun1__20200604A02,Aun1__20200604A02,1,2020-06-04 00:00:00,Aun-metal,1
rou2__20200608A02,rou2__20200608A02,1,2020-06-08 00:00:00,routeCode10/10/2020,2
Aun1__20200602A02,Aun1__20200602A02,1,2020-06-02 00:00:00,Aun-metal,1
Aun1__20200611A02,Aun1__20200611A02,1,2020-06-11 00:00:00,Aun-metal,1
Aun1__20200617A02,Aun1__20200617A02,1,2020-06-17 00:00:00,Aun-metal,1
Aun1__20200609A02,Aun1__20200609A02,1,2020-06-09 00:00:00,Aun-metal,1
Aun1__20200619A02,Aun1__20200619A02,1,2020-06-19 00:00:00,Aun-metal,1
rou2__20200604A02,rou2__20200604A02,1,2020-06-04 00:00:00,routeCode10/10/2020,2
Aun1__20200603A02,Aun1__20200603A02,1,2020-06-03 00:00:00,Aun-metal,1
SPV1__20200601A02,SPV1__20200601A02,1,2020-06-01 00:00:00,SPV-JIT-Rayong,1
rou2__20200617A02,rou2__20200617A02,1,2020-06-17 00:00:00,routeCode10/10/2020,2
Aun1__20200615A02,Aun1__20200615A02,1,2020-06-15 00:00:00,Aun-metal,1
rou2__20200603A02,rou2__20200603A02,1,2020-06-03 00:00:00,routeCode10/10/2020,2
rou2__20200611A02,rou2__20200611A02,1,2020-06-11 00:00:00,routeCode10/10/2020,2
SPV1__20200615A02,SPV1__20200615A02,1,2020-06-15 00:00:00,SPV-JIT-Rayong,1
rou2__20200610A02,rou2__20200610A02,1,2020-06-10 00:00:00,routeCode10/10/2020,2
SPV1__20200609A02,SPV1__20200609A02,1,2020-06-09 00:00:00,SPV-JIT-Rayong,1
SPV1__20200602A02,SPV1__20200602A02,1,2020-06-02 00:00:00,SPV-JIT-Rayong,1
SPV1__20200608A02,SPV1__20200608A02,1,2020-06-08 00:00:00,SPV-JIT-Rayong,1
rou2__20200616A02,rou2__20200616A02,1,2020-06-16 00:00:00,routeCode10/10/2020,2
Aun1__20200618A02,Aun1__20200618A02,1,2020-06-18 00:00:00,Aun-metal,1
Aun1__20200612A02,Aun1__20200612A02,1,2020-06-12 00:00:00,Aun-metal,1
rou2__20200605A02,rou2__20200605A02,1,2020-06-05 00:00:00,routeCode10/10/2020,2
Aun1__20200608A02,Aun1__20200608A02,1,2020-06-08 00:00:00,Aun-metal,1
Aun1__20200606A02,Aun1__20200606A02,1,2020-06-06 00:00:00,Aun-metal,1
rou2__20200609A02,rou2__20200609A02,1,2020-06-09 00:00:00,routeCode10/10/2020,2
Aun1__20200616A02,Aun1__20200616A02,1,2020-06-16 00:00:00,Aun-metal,1
