Customer,Project,Station Code,Descrition,type,Zone,Province,Address,Remark,Update By,Update Date
ADIENT,test,JIT-Rayong,test,PLANT,test,test,test,test,Batman,23/11/2020
ADIENT,test,AT,test,PLANT,test,test,test,test,Batman,23/11/2020
ADIENT,test,Metal,test,PLANT,test,test,test,test,Batman,23/11/2020
ADIENT,test,AAPICO,test,SUPPLIER,test,test,test,test,Batman,23/11/2020
ADIENT,test,NSG,test,SUPPLIER,test,test,test,test,Batman,23/11/2020
ADIENT,test,SPV,test,SUPPLIER,test,test,test,test,Batman,23/11/2020
ADIENT,test,XCL,test,SUPPLIER,test,test,test,test,Batman,23/11/2020
ADIENT,test,AUN,test,SUPPLIER,test,test,test,test,Batman,23/11/2020
ADIENT,test,plant,cmu,PLANT,dsf,sdf,sdf,,Batman,21/11/2020
ADIENT,test,sup,wefwef,SUPPLIER,sdfsdf,sdf,sdf,,Batman,21/11/2020
