File ID,Order ID,Supplier,Plant,Part No,Due Date,Order Qty,Pakage No,Pakage Qty,Route&Qty,Uploaded By,Uploaded Date
AD20120403,20200615A216,AAPICO,JIT-Rayong,ASM RSB LATCH + 4 PRE-,15/06/2020,540,box-01,45.00,,Batman,04/12/2020
AD20120403,20200608A208,AAPICO,JIT-Rayong,ASM RSB LATCH + 4 PRE-,08/06/2020,495,box-01,42.00,,Batman,04/12/2020
AD20120403,20200601A067,AAPICO,JIT-Rayong,ASM RSB LATCH + 4 PRE-,01/06/2020,650,box-01,55.00,,Batman,04/12/2020
AD20120403,20200615A215,AAPICO,JIT-Rayong,ASM LATCH WITH STRAP RSB,15/06/2020,1320,box-01,110.00,,Batman,04/12/2020
AD20120403,20200608A207,AAPICO,JIT-Rayong,ASM LATCH WITH STRAP RSB,08/06/2020,1500,box-01,125.00,,Batman,04/12/2020
AD20120403,20200601A066,AAPICO,JIT-Rayong,ASM LATCH WITH STRAP RSB,01/06/2020,1740,box-01,145.00,,Batman,04/12/2020
AD20120403,20200619A073,SPV,AT,HINGE COVER,19/06/2020,192,box-01,16.00,,Batman,04/12/2020
AD20120403,20200615A076,NSG,JIT-Rayong,FELT ADHESIVE TAPE 55X25X2.5,15/06/2020,1500,box-01,125.00,,Batman,04/12/2020
AD20120403,20200608A079,NSG,JIT-Rayong,FELT ADHESIVE TAPE 55X25X2.5,08/06/2020,1500,box-01,125.00,,Batman,04/12/2020
AD20120403,20200615A075,NSG,JIT-Rayong,SEAT OPERATIONAL LABEL ,15/06/2020,500,box-01,42.00,,Batman,04/12/2020
AD20120403,20200608A078,NSG,JIT-Rayong,SEAT OPERATIONAL LABEL ,08/06/2020,500,box-01,42.00,,Batman,04/12/2020
AD20120403,20200608A077,NSG,AT,BOARD ASSY 3RD CUSH RH,08/06/2020,600,box-01,50.00,,Batman,04/12/2020
AD20120403,20200608A076,NSG,AT,BOARD ASSY 3RD CUSH LH,08/06/2020,600,box-01,50.00,,Batman,04/12/2020
AD20120403,20200608A075,NSG,AT,BOARD BACK RH,08/06/2020,600,box-01,50.00,,Batman,04/12/2020
AD20120403,20200608A074,NSG,AT,BOARD BACK LH,08/06/2020,600,box-01,50.00,,Batman,04/12/2020
