Item No,Order ID,Part Number,Part Description,Supplier Name,Plant,Order Amount,Date
1,20200601A001,2480322,120,AUN,Metal,120,01/06/2020
1,20200604A001,2480322,150,AUN,Metal,150,04/06/2020
1,20200608A001,2480322,300,AUN,Metal,300,08/06/2020
1,20200609A001,2480322,300,AUN,Metal,300,09/06/2020
1,20200611A001,2480322,150,AUN,Metal,150,11/06/2020
1,20200619A001,2480322,150,AUN,Metal,150,19/06/2020
2,20200604A002,2527824,150,AUN,Metal,150,04/06/2020
2,20200608A002,2527824,300,AUN,Metal,300,08/06/2020
2,20200609A002,2527824,300,AUN,Metal,300,09/06/2020
2,20200611A002,2527824,150,AUN,Metal,150,11/06/2020
2,20200619A002,2527824,150,AUN,Metal,150,19/06/2020
3,20200601A002,2621969,150,AUN,Metal,150,01/06/2020
3,20200604A003,2621969,150,AUN,Metal,150,04/06/2020
3,20200605A001,2621969,150,AUN,Metal,150,05/06/2020
3,20200608A003,2621969,150,AUN,Metal,150,08/06/2020
3,20200609A003,2621969,150,AUN,Metal,150,09/06/2020
3,20200611A003,2621969,150,AUN,Metal,150,11/06/2020
3,20200615A001,2621969,150,AUN,Metal,150,15/06/2020
3,20200617A001,2621969,150,AUN,Metal,150,17/06/2020
3,20200619A003,2621969,150,AUN,Metal,150,19/06/2020
4,20200601A003,2621970,150,AUN,Metal,150,01/06/2020
4,20200604A004,2621970,150,AUN,Metal,150,04/06/2020
4,20200605A002,2621970,150,AUN,Metal,150,05/06/2020
4,20200608A004,2621970,150,AUN,Metal,150,08/06/2020
4,20200609A004,2621970,150,AUN,Metal,150,09/06/2020
4,20200611A004,2621970,150,AUN,Metal,150,11/06/2020
4,20200615A002,2621970,150,AUN,Metal,150,15/06/2020
4,20200617A002,2621970,150,AUN,Metal,150,17/06/2020
4,20200619A004,2621970,150,AUN,Metal,150,19/06/2020
5,20200601A004,2622069,150,AUN,Metal,150,01/06/2020
5,20200602A001,2622069,150,AUN,Metal,150,02/06/2020
5,20200608A005,2622069,150,AUN,Metal,150,08/06/2020
5,20200609A005,2622069,150,AUN,Metal,150,09/06/2020
5,20200610A001,2622069,75,AUN,Metal,75,10/06/2020
5,20200611A005,2622069,75,AUN,Metal,75,11/06/2020
5,20200615A003,2622069,150,AUN,Metal,150,15/06/2020
5,20200617A003,2622069,75,AUN,Metal,75,17/06/2020
5,20200618A001,2622069,75,AUN,Metal,75,18/06/2020
5,20200619A005,2622069,75,AUN,Metal,75,19/06/2020
6,20200601A005,2622075,150,AUN,Metal,150,01/06/2020
6,20200602A002,2622075,150,AUN,Metal,150,02/06/2020
6,20200608A006,2622075,150,AUN,Metal,150,08/06/2020
6,20200609A006,2622075,150,AUN,Metal,150,09/06/2020
6,20200610A002,2622075,75,AUN,Metal,75,10/06/2020
6,20200611A006,2622075,75,AUN,Metal,75,11/06/2020
6,20200615A004,2622075,150,AUN,Metal,150,15/06/2020
6,20200617A004,2622075,75,AUN,Metal,75,17/06/2020
6,20200618A002,2622075,75,AUN,Metal,75,18/06/2020
6,20200619A006,2622075,75,AUN,Metal,75,19/06/2020
7,20200601A006,2621906,150,AUN,Metal,150,01/06/2020
7,20200602A003,2621906,100,AUN,Metal,100,02/06/2020
7,20200608A007,2621906,150,AUN,Metal,150,08/06/2020
7,20200609A007,2621906,100,AUN,Metal,100,09/06/2020
7,20200610A003,2621906,100,AUN,Metal,100,10/06/2020
7,20200615A005,2621906,150,AUN,Metal,150,15/06/2020
7,20200616A001,2621906,50,AUN,Metal,50,16/06/2020
7,20200617A005,2621906,50,AUN,Metal,50,17/06/2020
7,20200618A003,2621906,100,AUN,Metal,100,18/06/2020
7,20200619A007,2621906,50,AUN,Metal,50,19/06/2020
8,20200601A007,2621913,150,AUN,Metal,150,01/06/2020
8,20200602A004,2621913,100,AUN,Metal,100,02/06/2020
8,20200608A008,2621913,150,AUN,Metal,150,08/06/2020
8,20200609A008,2621913,100,AUN,Metal,100,09/06/2020
8,20200610A004,2621913,100,AUN,Metal,100,10/06/2020
8,20200615A006,2621913,150,AUN,Metal,150,15/06/2020
8,20200616A002,2621913,50,AUN,Metal,50,16/06/2020
8,20200617A006,2621913,50,AUN,Metal,50,17/06/2020
8,20200618A004,2621913,100,AUN,Metal,100,18/06/2020
8,20200619A008,2621913,50,AUN,Metal,50,19/06/2020
9,20200602A005,2521817,200,AUN,Metal,200,02/06/2020
9,20200604A005,2521817,150,AUN,Metal,150,04/06/2020
9,20200605A003,2521817,200,AUN,Metal,200,05/06/2020
9,20200608A009,2521817,250,AUN,Metal,250,08/06/2020
9,20200609A009,2521817,200,AUN,Metal,200,09/06/2020
9,20200610A005,2521817,200,AUN,Metal,200,10/06/2020
9,20200611A007,2521817,200,AUN,Metal,200,11/06/2020
9,20200612A001,2521817,200,AUN,Metal,200,12/06/2020
